"","subfolder","snapshot_time","year","time","package","version","submission_time","howlongago","folder"
"110",NA,2020-09-12 20:11:45,"2020","02:17","FuncNN","1.0",2020-09-08 00:17:00,4.8,"newbies"
"111",NA,2020-09-12 20:11:45,"2020","03:06","html2R","0.1.0",2020-09-08 01:06:00,4.8,"newbies"
"112",NA,2020-09-12 20:11:45,"2020","03:49","incase","0.1.0",2020-09-08 01:49:00,4.8,"newbies"
"113",NA,2020-09-12 20:11:45,"2020","21:13","ec50estimator","0.1.0",2020-09-07 19:13:00,5,"newbies"
"114",NA,2020-09-12 20:11:45,"2020","18:42","cat2cat","0.1.2",2020-09-07 16:42:00,5.1,"newbies"
"115",NA,2020-09-12 20:11:45,"2020","20:32","crimeutils","0.1.0",2020-09-07 18:32:00,5.1,"newbies"
"116",NA,2020-09-12 20:11:45,"2020","19:15","rsbp","0.1.0",2020-09-07 17:15:00,5.1,"newbies"
"117",NA,2020-09-12 20:11:45,"2020","17:13","BRIDES","1.2.0",2020-09-07 15:13:00,5.2,"newbies"
"118",NA,2020-09-12 20:11:45,"2020","16:21","MABOUST","1.0.0",2020-09-07 14:21:00,5.2,"newbies"
"119",NA,2020-09-12 20:11:45,"2020","17:46","robomit","1.0.3",2020-09-07 15:46:00,5.2,"newbies"
"120",NA,2020-09-12 20:11:45,"2020","15:36","IntCal","0.1.1",2020-09-07 13:36:00,5.3,"newbies"
"121",NA,2020-09-12 20:11:45,"2020","14:05","acumos","0.4-0",2020-09-07 12:05:00,5.3,"newbies"
"122",NA,2020-09-12 20:11:45,"2020","14:29","dPCP","1.0.1",2020-09-07 12:29:00,5.3,"newbies"
"123",NA,2020-09-12 20:11:45,"2020","15:33","gauseR","1.0",2020-09-07 13:33:00,5.3,"newbies"
"124",NA,2020-09-12 20:11:45,"2020","15:49","image.textlinedetector","0.1.0",2020-09-07 13:49:00,5.3,"newbies"
"125",NA,2020-09-12 20:11:45,"2020","13:21","onlineforecast","0.9.3",2020-09-07 11:21:00,5.4,"newbies"
"126",NA,2020-09-12 20:11:45,"2020","13:18","pdfboxr","2.0.19",2020-09-07 11:18:00,5.4,"newbies"
"127",NA,2020-09-12 20:11:45,"2020","11:30","rater","1.0.0",2020-09-07 09:30:00,5.4,"newbies"
"128",NA,2020-09-12 20:11:45,"2020","09:05","ROI.plugin.osqp","1.0-0",2020-09-07 07:05:00,5.5,"newbies"
"129",NA,2020-09-12 20:11:45,"2020","09:50","eatATA","0.7.0",2020-09-07 07:50:00,5.5,"newbies"
"130",NA,2020-09-12 20:11:45,"2020","14:56","SlaPMEG","1.0.0",2020-09-06 12:56:00,6.3,"newbies"
"131",NA,2020-09-12 20:11:45,"2020","13:03","lsei","1.3-0",2020-09-06 11:03:00,6.4,"newbies"
"132",NA,2020-09-12 20:11:45,"2020","04:36","Riemann","0.1.0",2020-09-06 02:36:00,6.7,"newbies"
"133",NA,2020-09-12 20:11:45,"2020","22:27","ClinSigMeasures","1.0",2020-09-05 20:27:00,7,"newbies"
"134",NA,2020-09-12 20:11:45,"2020","19:04","rsBayes","0.1.0",2020-09-05 17:04:00,7.1,"newbies"
"135",NA,2020-09-12 20:11:45,"2020","14:56","rumidas","0.1.0",2020-09-05 12:56:00,7.3,"newbies"
"136",NA,2020-09-12 20:11:45,"2020","12:17","atakrig","0.9.7",2020-09-05 10:17:00,7.4,"newbies"
"137",NA,2020-09-12 20:11:45,"2020","13:10","importas","0.2.0",2020-09-05 11:10:00,7.4,"newbies"
"138",NA,2020-09-12 20:11:45,"2020","09:50","GARCHIto","0.1.0",2020-09-05 07:50:00,7.5,"newbies"
"139",NA,2020-09-12 20:11:45,"2020","09:53","slanter","0.1-0",2020-09-05 07:53:00,7.5,"newbies"
"140",NA,2020-09-12 20:11:45,"2020","00:49","SBICgraph","0.1.0",2020-09-04 22:49:00,7.9,"newbies"
"141",NA,2020-09-12 20:11:45,"2020","23:57","combinedevents","0.1.0",2020-09-04 21:57:00,7.9,"newbies"
"142",NA,2020-09-12 20:11:45,"2020","00:26","treeplyr","0.1.10",2020-09-04 22:26:00,7.9,"newbies"
"143",NA,2020-09-12 20:11:45,"2020","22:59","LifeInsuranceContracts","0.0.1",2020-09-04 20:59:00,8,"newbies"
"144",NA,2020-09-12 20:11:45,"2020","23:19","ripserr","0.1.0",2020-09-04 21:19:00,8,"newbies"
"145",NA,2020-09-12 20:11:45,"2020","21:07","rjqpd","0.2.2",2020-09-04 19:07:00,8,"newbies"
"146",NA,2020-09-12 20:11:45,"2020","21:20","sanic","0.0.1",2020-09-04 19:20:00,8,"newbies"
"147",NA,2020-09-12 20:11:45,"2020","18:55","RSmallTelescopes","1.0.1",2020-09-04 16:55:00,8.1,"newbies"
"148",NA,2020-09-12 20:11:45,"2020","19:49","binsegRcpp","2020.9.3",2020-09-04 17:49:00,8.1,"newbies"
"149",NA,2020-09-12 20:11:45,"2020","17:41","shinyMergely","0.1.0",2020-09-04 15:41:00,8.2,"newbies"
"150",NA,2020-09-12 20:11:45,"2020","21:57","mets","1.2.8.1",2020-09-09 19:57:00,3,"pending"
"151",NA,2020-09-12 20:11:45,"2020","04:15","rhoR","1.3.0.3",2020-09-09 02:15:00,3.7,"pending"
"152",NA,2020-09-12 20:11:45,"2020","16:37","FLSSS","8.6.5",2020-09-08 14:37:00,4.2,"pending"
"153",NA,2020-09-12 20:11:45,"2020","09:34","rBiasCorrection","0.2.2",2020-09-08 07:34:00,4.5,"pending"
"154",NA,2020-09-12 20:11:45,"2020","04:45","cmdfun","1.0.1",2020-08-27 02:45:00,16.7,"pending"
"155",NA,2020-09-12 20:11:45,"2020","16:16","tidyRSS","2.0.3",2020-09-11 14:16:00,1.2,"pretest"
"156",NA,2020-09-12 20:11:45,"2020","15:56","DTRreg","1.7",2020-09-11 13:56:00,1.3,"pretest"
"157",NA,2020-09-12 20:11:45,"2020","15:46","covr","3.5.1",2020-09-11 13:46:00,1.3,"pretest"
"158",NA,2020-09-12 20:11:45,"2020","15:51","dmdScheme","1.2.4",2020-09-11 13:51:00,1.3,"pretest"
"159",NA,2020-09-12 20:11:45,"2020","15:40","nls.multstart","1.2.0",2020-09-11 13:40:00,1.3,"pretest"
"160",NA,2020-09-12 20:11:45,"2020","15:34","tgp","2.4-17",2020-09-11 13:34:00,1.3,"pretest"
"161","UL",2020-09-12 20:11:45,"2020","17:53","vlad","0.2.1",2020-08-24 15:53:00,19.2,"human"
"162",NA,2020-09-12 20:11:45,"2020","19:11","mosaicCore","0.8.0",2020-09-12 17:11:00,0.1,"waiting"
"163",NA,2020-09-12 20:11:45,"2020","14:02","gplots","3.1.0",2020-09-12 12:02:00,0.3,"waiting"
"164",NA,2020-09-12 20:11:45,"2020","13:00","QCA","3.9.1",2020-09-12 11:00:00,0.4,"waiting"
"165",NA,2020-09-12 20:11:45,"2020","07:28","deldir","0.1-29",2020-09-12 05:28:00,0.6,"waiting"
"166",NA,2020-09-12 20:11:45,"2020","07:49","withr","2.3.0",2020-09-12 05:49:00,0.6,"waiting"
"167",NA,2020-09-12 20:11:45,"2020","17:16","cna","3.0.0",2020-09-11 15:16:00,1.2,"waiting"
"168",NA,2020-09-12 20:11:45,"2020","16:27","sf","0.9-6",2020-09-11 14:27:00,1.2,"waiting"
"169",NA,2020-09-12 20:11:45,"2020","11:56","carat","1.3.1",2020-09-11 09:56:00,1.4,"waiting"
"170",NA,2020-09-12 20:11:45,"2020","10:27","mlr3","0.6.0",2020-09-11 08:27:00,1.5,"waiting"
"171",NA,2020-09-12 20:11:45,"2020","01:22","mem","2.16",2020-09-10 23:22:00,1.9,"waiting"
"172",NA,2020-09-12 20:11:45,"2020","16:26","BayesSUR","1.2-3",2020-09-10 14:26:00,2.2,"waiting"
"173",NA,2020-09-12 20:11:45,"2020","21:46","FCSlib","1.2.1",2020-09-08 19:46:00,4,"waiting"
"174",NA,2020-09-12 20:11:45,"2020","19:45","PhysActBedRest","1.1",2020-09-04 17:45:00,8.1,"waiting"
"175",NA,2020-09-12 20:11:45,"2020","22:14","mosaicCore","0.7.0",2020-08-29 20:14:00,14,"waiting"
"176",NA,2020-09-12 20:11:45,"2020","00:02","gitear","1.0.0",2020-08-26 22:02:00,16.9,"waiting"
